epoch,learning_rate,train_loss,validation_loss,validation_pearson_mean,validation_spearman_mean,validation_rmse_mean,validation_n_valid_pearson,validation_n_targets
1,0.0003,1.2381876947134518,1.242792107315612,0.62489218071655,0.546252256869184,1.0699428860787992,27,27
2,0.0003,1.1221476119006248,1.2372579336893164,0.6384025806630099,0.5576381254807334,1.064803609141597,27,27
3,0.0003,1.1018532178422649,1.257242320963754,0.6440078682369657,0.5584657446304545,1.0735776634128005,27,27
4,0.0003,1.0899311095087987,1.2436115318732965,0.6457347345572931,0.5579738958593748,1.067315544243212,27,27
5,0.0003,1.0830885819691825,1.2252862518436938,0.6471778055032095,0.5581080751379668,1.059000579295335,27,27
6,0.0003,1.0775045054003747,1.2591648887165117,0.649708992905087,0.5582882292295357,1.0718468251051727,27,27
7,0.0003,1.0735049721818584,1.2526478112091466,0.644351088338428,0.5546171601302011,1.0708623870655343,27,27
8,0.0003,1.0692066983790198,1.2248417716240048,0.6497436243074911,0.5584799418642734,1.059429308882466,27,27
9,0.0003,1.0674883847212482,1.2030707908804916,0.6545963199050339,0.5627624824377048,1.0507537214844316,27,27
10,0.0003,1.0641290541840704,1.227676352854824,0.6492324206564162,0.5595196182480844,1.0600214843396787,27,27
11,0.0003,1.0623113930139114,1.2340188002010304,0.6520335111353133,0.5646941535090739,1.0633055203490787,27,27
12,0.0003,1.06089698661081,1.236789509759343,0.651413333636743,0.5578222779309063,1.0642239076119882,27,27
13,0.0003,1.0587367099463163,1.255756806954124,0.6458162301116519,0.5555665357088527,1.071058699378261,27,27
14,0.0003,1.0577780146674722,1.2169633484259377,0.6533691242889121,0.5606656101820247,1.0562946719151955,27,27
15,0.0003,1.0565857521100603,1.2246280585434963,0.6491321584692707,0.5576671249709259,1.058725623068986,27,27
16,0.0003,1.0558043889733713,1.2214242967676103,0.6519001148365162,0.5605225588159068,1.0590021698563188,27,27
17,0.0003,1.0556845601923042,1.2299745401985607,0.6494215550246062,0.5590768174760002,1.0626971688535478,27,27
18,0.0003,1.0542331229329283,1.2265100259608603,0.6517822091226224,0.5603403683342142,1.05917164572963,27,27
19,0.0003,1.0532986337041372,1.2422095352314813,0.645616900589731,0.5536611050868782,1.0647985725491136,27,27
20,0.0003,1.053073262814675,1.2171297264771272,0.6499349375565847,0.5589343713144971,1.056495510869556,27,27
21,2.9999999999999997e-05,1.024038743877894,1.2132768472840552,0.6556377333623392,0.5634462085686957,1.0544369640173736,27,27
22,2.9999999999999997e-05,1.0149085380837817,1.2299367185875871,0.6545281675126817,0.5625646019497755,1.0620377085827015,27,27
23,2.9999999999999997e-05,1.010786191720176,1.1962635107005677,0.6580509488229398,0.5662573837586358,1.0469512751808874,27,27
24,2.9999999999999997e-05,1.0080372697537612,1.2073080413092123,0.6572042847121203,0.5643507973180433,1.052659445338779,27,27
25,2.9999999999999997e-05,1.0045979498523017,1.2026255749088426,0.6569203303919898,0.5643512413131848,1.050974499296259,27,27
26,2.9999999999999997e-05,1.003248293734494,1.2011089072172554,0.6579873639124411,0.5652441104757377,1.049556624006342,27,27
27,2.9999999999999997e-05,0.9995582532434146,1.2022317746834819,0.657172292470932,0.5641223158714662,1.0498836239178975,27,27
28,2.9999999999999997e-05,0.9993642534516137,1.2089567014391054,0.655175464020835,0.5626103910684491,1.0528222565297727,27,27
29,2.9999999999999997e-05,0.9968276248395702,1.2055475626774403,0.6574517808578633,0.5643035053057568,1.0516308435687312,27,27
30,2.9999999999999997e-05,0.9949385551743846,1.2101544427716593,0.6567050693211732,0.5642473264430773,1.0534543361928728,27,27
31,2.9999999999999997e-05,0.9943169705602091,1.2090650282411657,0.6569421997776738,0.5650228744065284,1.0529968473646376,27,27
32,2.9999999999999997e-05,0.9930919469006673,1.2051786912326792,0.6576168217040874,0.5654272848994896,1.0526506271627214,27,27
33,2.9999999999999997e-05,0.9914763443894393,1.197231367551431,0.6591214846681666,0.565526116094686,1.0489910896177645,27,27
34,2.9999999999999997e-05,0.9899063965087344,1.2146324409839846,0.6585680665793242,0.5660457228979956,1.0554944100203338,27,27
35,2.9999999999999997e-05,0.9886219149560556,1.2112718592806284,0.6592102437107651,0.5660070159870655,1.0542025323267337,27,27
36,2.9999999999999997e-05,0.9874363315691996,1.2001015759296791,0.6576729670718864,0.5658705319783147,1.0487068825297885,27,27
37,2.9999999999999997e-05,0.9863156623243423,1.2088819226592522,0.6594567773518739,0.5670418559077176,1.052740342087216,27,27
38,2.9999999999999997e-05,0.9855504767422049,1.2231290446733716,0.6579238584748021,0.5655950405391788,1.0580087944313332,27,27
39,2.9999999999999997e-05,0.9841846205218656,1.2110973483580254,0.6594478079566249,0.5661726951701394,1.0539675112123843,27,27
40,2.9999999999999997e-05,0.9835228397169955,1.2000149473133024,0.6581175790892707,0.5663694181087651,1.048730026792597,27,27
