source_species	input_gene	normalized_gene	human_ensembl	human_symbol	status	reason	updated_at
mouse	A2m	A2m	ENSG00000175899	A2M	mapped		2026-05-25T06:46:57+00:00
mouse	Aagab	Aagab	ENSG00000103591	AAGAB	mapped		2026-05-25T06:47:01+00:00
mouse	Abca2	Abca2	ENSG00000107331	ABCA2	mapped		2026-05-25T06:47:05+00:00
mouse	Abca7	Abca7	ENSG00000064687	ABCA7	mapped		2026-05-25T06:47:08+00:00
mouse	Abcc9	Abcc9	ENSG00000069431	ABCC9	mapped		2026-05-25T06:47:12+00:00
mouse	Abhd17a	Abhd17a	ENSG00000129968	ABHD17A	mapped		2026-05-25T06:47:16+00:00
mouse	Abhd17b	Abhd17b	ENSG00000107362	ABHD17B	mapped		2026-05-25T06:47:20+00:00
mouse	Abhd17c	Abhd17c	ENSG00000136379	ABHD17C	mapped		2026-05-25T06:47:23+00:00
mouse	Abi3	Abi3	ENSG00000108798	ABI3	mapped		2026-05-25T06:47:27+00:00
mouse	Abi3bp	Abi3bp	ENSG00000154175	ABI3BP	mapped		2026-05-25T06:47:30+00:00
mouse	Abl1	Abl1	ENSG00000097007	ABL1	mapped		2026-05-25T06:47:34+00:00
mouse	Acan	Acan	ENSG00000157766	ACAN	mapped		2026-05-25T06:47:38+00:00
mouse	Acbd7	Acbd7	ENSG00000176244	ACBD7	mapped		2026-05-25T06:47:42+00:00
mouse	Acsl3	Acsl3	ENSG00000123983	ACSL3	mapped		2026-05-25T06:47:45+00:00
mouse	Adam10	Adam10	ENSG00000137845	ADAM10	mapped		2026-05-25T06:47:49+00:00
mouse	Adam19	Adam19			unmapped	no_human_one_to_one_ortholog	2026-05-25T06:47:52+00:00
mouse	Adam23	Adam23	ENSG00000114948	ADAM23	mapped		2026-05-25T06:47:56+00:00
mouse	Adam33	Adam33	ENSG00000149451	ADAM33	mapped		2026-05-25T06:47:59+00:00
mouse	Adamts15	Adamts15	ENSG00000166106	ADAMTS15	mapped		2026-05-25T06:48:03+00:00
mouse	Adamts2	Adamts2	ENSG00000087116	ADAMTS2	mapped		2026-05-25T06:48:06+00:00
mouse	Adamts4	Adamts4	ENSG00000158859	ADAMTS4	mapped		2026-05-25T06:48:10+00:00
mouse	Adamts8	Adamts8	ENSG00000134917	ADAMTS8	mapped		2026-05-25T06:48:14+00:00
mouse	Adamts9	Adamts9	ENSG00000163638	ADAMTS9	mapped		2026-05-25T06:48:17+00:00
mouse	Adamtsl1	Adamtsl1	ENSG00000178031	ADAMTSL1	mapped		2026-05-25T06:48:20+00:00
mouse	Adamtsl5	Adamtsl5	ENSG00000185761	ADAMTSL5	mapped		2026-05-25T06:48:24+00:00
mouse	Adarb2	Adarb2	ENSG00000185736	ADARB2	mapped		2026-05-25T06:48:27+00:00
mouse	Adcy1	Adcy1	ENSG00000164742	ADCY1	mapped		2026-05-25T06:48:30+00:00
mouse	Add2	Add2	ENSG00000075340	ADD2	mapped		2026-05-25T06:48:33+00:00
mouse	Add3	Add3	ENSG00000148700	ADD3	mapped		2026-05-25T06:48:36+00:00
mouse	Adgra1	Adgra1	ENSG00000197177	ADGRA1	mapped		2026-05-25T06:48:40+00:00
mouse	Adgrg6	Adgrg6	ENSG00000112414	ADGRG6	mapped		2026-05-25T06:48:43+00:00
mouse	Adgrl1	Adgrl1	ENSG00000072071	ADGRL1	mapped		2026-05-25T06:48:47+00:00
mouse	Adgrl2	Adgrl2	ENSG00000117114	ADGRL2	mapped		2026-05-25T06:48:50+00:00
mouse	Adm	Adm	ENSG00000148926	ADM	mapped		2026-05-25T06:48:54+00:00
mouse	Adora2a	Adora2a	ENSG00000128271	ADORA2A	mapped		2026-05-25T06:48:58+00:00
mouse	Adora3	Adora3	ENSG00000282608	ADORA3	mapped		2026-05-25T06:49:00+00:00
mouse	Adra2a	Adra2a	ENSG00000150594	ADRA2A	mapped		2026-05-25T06:49:04+00:00
